pid_l,pid_r
103173320190142,103173320190153
101080920160130,1011305201647384
101415920170196,305010120170182
809110320190097,809110320190193
101290720140162,101290720140167
215153320180017,215153320180144
117050120210180,117050120210181
107155120220116,115037320220025
103100320170289,103100320170293
109090920190153,109090920190163
215070520190070,215182220190081
103052320180313,103052320180336
805092120190081,805191120190174
111012720140068,111013520140056
805191120200045,805191520200034
817130720150058,817130720150198
115110520190069,115110520190101
815030420140018,815030420140058
715090920180208,715132220180072
107090120140021,107090120140089
403178320150082,403178320150105
407094520150230,407094520150238
115110520210061,115110520210072
401250720150145,401250720150152
113174320200171,113174720200027
113133720160173,711071120162044
215013320220016,401412120220056
104032320170177,104032320170185
701250720150426,701250920150042
805071120190011,805071120190024
221011120140058,221011120140059
411010320200100,411010720200322
106092120210163,106092120220011
813210120171700,813210120171701
407090920160286,407090920160287
809133320200081,809133320200094
709070320180098,709070320180099
709070120170154,711020720170139
103210720220039,225060120220092
713013720150787,713013720150796
603213520160120,603213520160123
109131520170175,109131520180005
805092920210196,805092920210212
709112320180318,709112320180319
807134520150170,807134520150228
115053120220057,115053120220090
405191720170198,405191720170210
403012320170560,403012320170561
403331520210018,403331520210075
113112520220026,401353520220061
711080820150268,711080820150308
501120320150458,501120320150467
607171120150053,607190520150027
101431920180284,101472920180117
405191720160126,405191720160127
113093920160083,117030520160130
801011720200058,801212120200117
109064720210112,109111120210154
813211520170167,813211520170168
815011320220020,815011320220021
813211520150100,813211520150110
103143720200226,115137520200007
805190520170502,813211120170627
713014120150557,713071720150081
603150320190062,603250120190084
409090320180095,409110320180045
405172120220007,405172120220024
101271320180144,101272120180305
503190120180017,503190120180077
501090320210032,606210920210012
501051120200188,701250920200069
403312720150003,403312720150030
221114120150316,221114120150319
115079320210024,117130720210018
221074920150180,221074920150239
501120720170033,501120720170414
713031320210103,713031320210128
106073720180117,215152520180024
805211120150132,805212120150145
407031320220018,701331520220198
405131120170093,405131120170099
717012420140150,717111420140081
403370220150168,403370220150217
813031520170135,813041120170204
213070120210199,213070120210209
511012420180704,511012420180705
103071320190165,103071320190227
303010120170312,303130120170359
106050920220078,106090820220099
101234120180089,101433320180051
813211520170196,813211520170197
807072520140011,807072520140027
221114120180074,221114120180077
101251520150911,101415720150138
605050320160111,605050320180136
816052720210331,816052720210340
805010820140123,805011120140006
809071520200138,809071520200157
221171920140101,221171920140106
103130520160036,103130520160050
211052320220021,211052920220007
403091720200008,403091720200011
401150120140091,401150120140117
103172320180161,103172320180175
407094520150227,407094520150241
117011120140050,117011120140197
407131720220056,407135120220042
813300120220016,813300120220037
401110120140012,401110120150036
805170120220077,805173320220129
115115720160048,115135320160047
701210520150184,701210520150185
101471320220061,107130120220099
104100620210076,104101120210038
201073120190064,201073120190105
405050320140069,405050320140159
209092320210025,209092920210021
109010720210037,109073320210091
115152320210142,115152320210145
807134520200269,807134520200317
605130920180267,605130920180268
101031320140278,101212020140109
803191120170066,803191120170462
221012120140043,221012120140147
817091520180029,817091520180471
101455720140228,101513520140224
713090520200096,713090520210097
221012120140025,221012120140160
701390320170137,701401720171118
103143720170376,103143720170688
221012120140026,221012120140161
103032320150227,103050720150169
701283920150027,701283920150515
713015320170052,713015320170162
115052520220015,115053120220079
101454120190014,103192520190151
111110320200201,217110120200234
401351920170167,401352520170136
711034320220053,805051320220027
813131120170022,813131120170064
104061520210040,104061520210159
113071520160089,113074520160261
403271120220045,403271120220052
805192520220050,805192520220068
117052320150025,117053120150036
113093720180119,113093720180232
401194520170157,401195320170084
805190520150188,805191120150250
403010920180465,403010920180751
101433920180358,101434520180157
713170920170498,805051320170062
805071120170077,805171120170024
813051520150159,813051520150385
811161220180092,816071920180401
115011720160036,115057020160066
711053920170150,711053920170467
101030520180394,221111120180046
813210120170382,813210120171510
715031120160209,715031120160237
205052120200070,205052120200094
701071320180014,701071320180276
715050120170104,715050120170379
101351320210006,101392520210004
701392920160089,701392920161214
303076320160047,303076320160048
115098120140002,115098120140061
717090520180173,717122420180362
807180520220034,807180520220036
403011720170022,403011720170085